id,user,title,content,tags,media_file,created_at
d9c1f319-12a8-4e1b-ba9a-eff981268ed0,1f3a52f8-3966-497d-a948-47b6cc2e41c1,NinthBlog,hey the is the ninth blog by Utkarsh Rasal,nh,http://localhost:8000/uploads/FB_IMG_1617351947263.jpg,2021-04-23T07:19:59.637935
7cb55946-c989-4746-8973-e6528fcb2c8a,1f3a52f8-3966-497d-a948-47b6cc2e41c1,NinthBlog,hey the is the ninth blog by Utkarsh Rasal,nh,http://localhost:8000/uploads/FB_IMG_1617351947263.jpg,2021-04-23T07:01:49.500524
575aefcf-26ac-4b06-b2c2-9cd2a810808c,1f3a52f8-3966-497d-a948-47b6cc2e41c1,NinthBlog,hey the is the ninth blog by Utkarsh Rasal,"tenth, nomnth, nh, fifth, ninth",http://localhost:8000/uploads/FB_IMG_1617351947263.jpg,2021-04-21T06:32:57.708465
b8aefe5b-4d71-42c7-9ee9-fa2fd50b8bed,1f3a52f8-3966-497d-a948-47b6cc2e41c1,SeventhBlog,Hey there this is the seventh blog by utkarsh rasal,second,http://localhost:8000/uploads/Resume(Akash gupta).png,2021-04-20T17:47:30.691643
7e2d7f1e-71e0-4ee4-acfa-d88b1436a96d,1f3a52f8-3966-497d-a948-47b6cc2e41c1,fifth blog,Hey there this is the fifth blog by utkarsh rasal,fifth,http://localhost:8000/uploads/FB_IMG_1617351947263.jpg,2021-04-20T05:42:02.112550
a1459dee-1fe0-4b16-ace7-2fa7b5bd5e58,1f3a52f8-3966-497d-a948-47b6cc2e41c1,fifth blog,Hey there this is the fifth blog by utkarsh rasal,fifth,http://localhost:8000/uploads/FB_IMG_1617351947263.jpg,2021-04-20T05:31:07.910000
189dfbf7-87fb-4abe-ac4c-b6c8c1c39a33,1f3a52f8-3966-497d-a948-47b6cc2e41c1,fifth blog,Hey there this is the fifth blog by utkarsh rasal,fifth,http://localhost:8000/uploads/FB_IMG_1617351947263.jpg,2021-04-20T05:29:28.461134
34dd6dce-c645-4a2b-845c-b436de8e4ff4,1f3a52f8-3966-497d-a948-47b6cc2e41c1,fifth blog,Hey there this is the fifth blog by utkarsh rasal,fifth,http://localhost:8000/uploads/FB_IMG_1617351947263.jpg,2021-04-20T05:27:23.832995
8eaa1754-8999-41f4-a665-31e7e3c18d89,1f3a52f8-3966-497d-a948-47b6cc2e41c1,fifth blog,Hey there this is the fifth blog by utkarsh rasal,fifth,http://localhost:8000/uploads/FB_IMG_1617351947263.jpg,2021-04-20T05:25:49.256055
57929e66-0159-415b-bc6b-151b01ab4c06,1f3a52f8-3966-497d-a948-47b6cc2e41c1,fifth blog,Hey there this is the fifth blog by utkarsh rasal,fifth,http://localhost:8000/uploads/FB_IMG_1617351947263.jpg,2021-04-20T05:25:09.522269
f497ce6e-2b1f-42e2-b533-74152267b0a5,1f3a52f8-3966-497d-a948-47b6cc2e41c1,fifth blog,Hey there this is the fifth blog by utkarsh rasal,fifth,http://localhost:8000/uploads/FB_IMG_1617351947263.jpg,2021-04-20T05:24:35.680740
408d4e20-4698-46a5-ba90-7fa0eadc9602,1f3a52f8-3966-497d-a948-47b6cc2e41c1,fifth blog,Hey there this is the fifth blog by utkarsh rasal,fifth,http://localhost:8000/uploads/FB_IMG_1617351947263.jpg,2021-04-20T05:24:10.611339
660cf5f8-fea5-407b-b498-0afd9d62c33f,1f3a52f8-3966-497d-a948-47b6cc2e41c1,fifth blog,Hey there this is the fifth blog by utkarsh rasal,fifth,http://localhost:8000/uploads/FB_IMG_1617351947263.jpg,2021-04-20T05:05:15.827775
